State,Year,Month,Season,Temperature_C,Humidity_pct,Pressure_hPa,WindSpeed_mps,CloudCover_pct,Rainfall_mm
Rajasthan,2010,1,Winter,29.0,33.9,1017.5,4.0,31.5,33.8
Rajasthan,2010,2,Winter,31.2,41.1,1009.7,3.0,28.0,33.9
Rajasthan,2010,3,Pre-Monsoon,35.5,19.7,1000.9,1.9,19.8,33.6
Rajasthan,2010,4,Pre-Monsoon,33.2,23.7,1023.3,2.3,36.0,5.2
Rajasthan,2010,5,Pre-Monsoon,33.9,35.9,1004.9,2.9,26.0,34.5
Rajasthan,2010,6,Monsoon,30.8,69.8,1012.9,3.4,87.3,82.2
Rajasthan,2010,7,Monsoon,32.4,39.3,1003.7,4.7,86.1,94.4
Rajasthan,2010,8,Monsoon,31.8,52.6,1002.7,3.8,68.1,106.1
Rajasthan,2010,9,Monsoon,32.7,40.9,1015.3,4.1,64.8,82.5
Rajasthan,2010,10,Post-Monsoon,34.1,42.5,1007.1,2.2,40.0,74.1
Rajasthan,2010,11,Post-Monsoon,31.0,33.5,1005.3,1.3,47.2,82.9
Rajasthan,2010,12,Winter,27.9,43.0,1015.5,1.9,40.4,82.7
Rajasthan,2011,1,Winter,27.9,47.5,994.7,3.3,36.3,53.7
Rajasthan,2011,2,Winter,28.2,19.1,1011.5,2.9,57.2,42.2
Rajasthan,2011,3,Pre-Monsoon,33.4,31.0,1019.4,2.8,27.1,42.7
Rajasthan,2011,4,Pre-Monsoon,35.2,42.7,1008.1,2.2,29.1,16.4
Rajasthan,2011,5,Pre-Monsoon,35.6,37.1,1013.0,2.3,13.8,19.6
Rajasthan,2011,6,Monsoon,31.3,48.6,1011.9,4.9,100.0,107.9
Rajasthan,2011,7,Monsoon,32.5,54.4,999.6,4.5,75.9,142.8
Rajasthan,2011,8,Monsoon,31.6,57.4,1012.8,3.3,92.1,118.1
Rajasthan,2011,9,Monsoon,33.6,47.7,1022.8,3.1,83.8,130.4
Rajasthan,2011,10,Post-Monsoon,30.0,30.5,1013.7,2.0,11.7,23.6
Rajasthan,2011,11,Post-Monsoon,29.9,38.8,1006.6,4.0,23.3,32.8
Rajasthan,2011,12,Winter,29.6,25.2,1014.6,3.8,10.9,21.7
Rajasthan,2012,1,Winter,28.5,41.3,1004.3,1.2,42.8,63.2
Rajasthan,2012,2,Winter,28.5,37.8,1008.2,2.7,39.4,36.6
Rajasthan,2012,3,Pre-Monsoon,38.7,38.8,1004.7,3.2,20.4,53.5
Rajasthan,2012,4,Pre-Monsoon,37.3,28.4,1019.7,2.9,47.3,85.0
Rajasthan,2012,5,Pre-Monsoon,34.5,29.0,1006.8,1.7,33.8,48.6
Rajasthan,2012,6,Monsoon,32.6,61.6,1013.1,6.0,71.0,143.0
Rajasthan,2012,7,Monsoon,33.3,48.1,1005.5,5.0,71.6,98.3
Rajasthan,2012,8,Monsoon,32.9,54.4,1007.1,3.0,68.3,101.6
Rajasthan,2012,9,Monsoon,32.4,45.0,1014.2,4.9,61.7,73.8
Rajasthan,2012,10,Post-Monsoon,32.1,25.9,1015.5,3.1,51.2,71.4
Rajasthan,2012,11,Post-Monsoon,29.2,27.5,1016.6,3.0,42.7,121.1
Rajasthan,2012,12,Winter,29.1,44.1,1019.7,3.2,30.3,58.0
Rajasthan,2013,1,Winter,26.5,33.1,1009.6,2.6,69.7,34.5
Rajasthan,2013,2,Winter,29.4,22.1,1009.7,3.6,36.0,16.6
Rajasthan,2013,3,Pre-Monsoon,33.6,40.4,1007.9,2.7,35.7,36.6
Rajasthan,2013,4,Pre-Monsoon,39.3,40.1,998.8,2.7,25.1,61.6
Rajasthan,2013,5,Pre-Monsoon,33.4,34.1,1016.5,3.4,17.0,20.7
Rajasthan,2013,6,Monsoon,31.1,49.8,1025.4,4.9,56.1,82.9
Rajasthan,2013,7,Monsoon,36.2,63.3,1002.4,4.0,94.0,98.1
Rajasthan,2013,8,Monsoon,32.9,61.2,1006.5,4.4,26.4,34.7
